epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.591,1.30966,2.71886,1.27782,0.63709,0.56452,0.55928,0.41702,1.14289,2.52666,1.14013,0.000655914,0.000655914,0.000655914
2,469.402,1.3069,2.19506,1.27519,0.75782,0.48387,0.60482,0.3882,1.33338,2.59773,1.32836,0.00130949,0.00130949,0.00130949
3,693.104,1.38773,2.24066,1.31569,0.59089,0.51613,0.53648,0.25997,1.67894,2.75837,1.57459,0.00194986,0.00194986,0.00194986
4,915.274,1.3629,2.14819,1.30416,0.71637,0.69355,0.77945,0.5223,1.25575,2.99519,1.45814,0.0019406,0.0019406,0.0019406
5,1136.37,1.28151,1.93879,1.32897,0.82958,0.58065,0.71858,0.45562,1.24666,2.2937,1.38445,0.0019208,0.0019208,0.0019208
6,1357.7,1.24625,1.78936,1.31568,0.84815,0.69355,0.82765,0.57632,1.1672,1.99959,1.20661,0.001901,0.001901,0.001901
7,1573.9,1.28689,1.73193,1.28398,0.86747,0.82258,0.90297,0.60411,1.1664,2.30874,1.17295,0.0018812,0.0018812,0.0018812
8,1787.37,1.28526,1.70824,1.27591,0.87279,0.80645,0.88751,0.60924,1.24288,1.722,1.29701,0.0018614,0.0018614,0.0018614
9,2001.96,1.19067,1.53414,1.21548,0.83394,0.75806,0.83763,0.59277,1.09785,1.71758,1.18416,0.0018416,0.0018416,0.0018416
10,2220.42,1.1543,1.43515,1.19377,0.90034,0.72857,0.8615,0.63168,1.03893,1.42587,1.10126,0.0018218,0.0018218,0.0018218
11,2434.6,1.14959,1.38526,1.18451,0.8696,0.77419,0.89215,0.61958,1.06337,1.39216,1.11101,0.001802,0.001802,0.001802
12,2648.11,1.12833,1.34073,1.21444,0.89113,0.79213,0.853,0.67968,0.97502,1.14872,1.06343,0.0017822,0.0017822,0.0017822
13,2862.17,1.06885,1.23076,1.17214,0.94398,0.8871,0.96013,0.71933,0.87583,1.01702,1.00419,0.0017624,0.0017624,0.0017624
14,3077.05,1.07539,1.23974,1.17826,0.97421,0.72581,0.88878,0.67265,1.02352,1.10861,1.05918,0.0017426,0.0017426,0.0017426
15,3292.5,1.01984,1.08912,1.12559,0.97524,0.82258,0.90676,0.70181,0.90063,0.98329,1.02735,0.0017228,0.0017228,0.0017228
16,3508.09,0.99451,1.05,1.13427,0.92719,0.82156,0.8926,0.69473,0.90831,0.96217,1.03896,0.001703,0.001703,0.001703
17,3723.7,1.00077,1.0688,1.129,0.96285,0.8361,0.90904,0.6864,0.93797,1.00582,1.05825,0.0016832,0.0016832,0.0016832
18,3938.2,0.94405,0.99436,1.13165,0.95701,0.79032,0.92418,0.72732,0.96904,0.96449,1.04927,0.0016634,0.0016634,0.0016634
19,4152.83,0.94221,0.95159,1.09324,0.96249,0.8871,0.95329,0.79364,0.78708,0.77863,0.95013,0.0016436,0.0016436,0.0016436
20,4368.16,0.94778,1.03355,1.11109,0.90747,0.79097,0.91603,0.71453,0.89085,0.96327,1.01771,0.0016238,0.0016238,0.0016238
21,4582.86,0.91722,0.97016,1.13108,0.92229,0.8871,0.92973,0.73662,0.79889,0.86086,0.95143,0.001604,0.001604,0.001604
22,4797.76,0.93016,0.9041,1.09238,0.93245,0.98387,0.98527,0.80529,0.81628,0.73696,0.95547,0.0015842,0.0015842,0.0015842
23,5012.23,0.95434,0.95874,1.121,0.96442,0.87436,0.94814,0.77306,0.82202,0.76101,0.97235,0.0015644,0.0015644,0.0015644
24,5226.39,0.90054,0.86556,1.06993,0.90568,0.93548,0.94748,0.76765,0.798,0.77356,0.99268,0.0015446,0.0015446,0.0015446
25,5440.44,0.86505,0.90027,1.07835,0.88332,0.93548,0.96812,0.76264,0.82462,0.69419,0.97471,0.0015248,0.0015248,0.0015248
26,5654.39,0.83678,0.80999,1.05336,0.94447,0.8871,0.96267,0.80057,0.72156,0.67814,0.92761,0.001505,0.001505,0.001505
27,5868.39,0.87878,0.82195,1.07298,0.97938,0.91935,0.97345,0.8044,0.73472,0.62003,0.93311,0.0014852,0.0014852,0.0014852
28,6081.16,0.89731,0.81763,1.08034,0.97893,0.8871,0.96516,0.80808,0.70737,0.63429,0.90766,0.0014654,0.0014654,0.0014654
29,6294.57,0.84545,0.7729,1.04331,0.99401,0.91935,0.97735,0.8083,0.75196,0.62533,0.92917,0.0014456,0.0014456,0.0014456
30,6507.92,0.83844,0.76279,1.03344,0.9675,0.96048,0.98076,0.82507,0.72477,0.60598,0.91112,0.0014258,0.0014258,0.0014258
31,6722.49,0.84937,0.76585,1.05766,0.9441,0.91935,0.96388,0.84802,0.65934,0.5868,0.87495,0.001406,0.001406,0.001406
32,6937.24,0.85327,0.78181,1.06879,1,0.95439,0.98939,0.81709,0.71906,0.56821,0.91503,0.0013862,0.0013862,0.0013862
33,7155.1,0.80644,0.73148,1.03266,0.93513,0.93013,0.96187,0.79662,0.7437,0.65392,0.94046,0.0013664,0.0013664,0.0013664
34,7370.88,0.78283,0.72314,1.0245,0.98892,0.96774,0.98249,0.81468,0.7228,0.56406,0.92464,0.0013466,0.0013466,0.0013466
35,7586.63,0.74381,0.66062,1.00848,0.93012,0.95161,0.96241,0.79346,0.85109,0.64715,0.96971,0.0013268,0.0013268,0.0013268
36,7801.09,0.72529,0.6525,0.99645,0.99776,0.90323,0.98047,0.82851,0.74381,0.59536,0.94365,0.001307,0.001307,0.001307
37,8016.57,0.73122,0.65317,1.00853,1,0.88123,0.97202,0.80621,0.7695,0.60528,0.93162,0.0012872,0.0012872,0.0012872
38,8232.02,0.70776,0.63781,0.99455,0.93624,0.94737,0.97524,0.79861,0.76486,0.58615,0.95116,0.0012674,0.0012674,0.0012674
39,8446.48,0.7586,0.67275,1.00922,0.9523,0.96596,0.98667,0.8231,0.73362,0.55289,0.92398,0.0012476,0.0012476,0.0012476
40,8668.99,0.6976,0.60715,0.99267,0.96461,0.96774,0.99054,0.84114,0.68938,0.53898,0.89215,0.0012278,0.0012278,0.0012278
41,8885.92,0.71639,0.63064,0.99829,0.99328,0.95161,0.98619,0.82924,0.65355,0.49294,0.89193,0.001208,0.001208,0.001208
42,9102.37,0.73459,0.65903,1.00073,0.97721,0.95161,0.97724,0.8238,0.63475,0.53755,0.87741,0.0011882,0.0011882,0.0011882
43,9319.51,0.73457,0.61857,0.99138,0.99682,0.96774,0.99286,0.83811,0.62978,0.50317,0.86792,0.0011684,0.0011684,0.0011684
